                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.40238,                0.32996,                0.99899,                0.97181,                0.94335,                0.97423,                0.92008,                0.36681,                0.35191,                0.96465,             0.00018795,             0.00018795,             0.00018795
                     47,                0.39692,                0.31989,                0.99765,                0.96971,                0.94535,                0.97865,                0.91127,                 0.3939,                0.35572,                 0.9996,             0.00018465,             0.00018465,             0.00018465
                     48,                 0.4026,                0.32626,                 1.0019,                0.97706,                0.94464,                0.97901,                0.92115,                0.39676,                0.36099,                 1.0124,             0.00018135,             0.00018135,             0.00018135
                     49,                0.38855,                0.30265,                0.99394,                0.96975,                0.94959,                0.97803,                0.93023,                0.35799,                0.34356,                0.96284,             0.00017806,             0.00017806,             0.00017806
                     50,                0.39699,                0.32199,                0.99585,                0.97339,                0.94772,                0.97407,                0.91626,                0.38712,                0.37382,                0.99189,             0.00017476,             0.00017476,             0.00017476
                     51,                0.39532,                 0.3135,                0.99812,                0.97549,                0.94267,                0.97548,                0.92594,                0.36371,                0.35549,                0.96915,             0.00017146,             0.00017146,             0.00017146
                     52,                0.39061,                0.30582,                0.99375,                0.97322,                0.95218,                0.98181,                0.92406,                0.37596,                 0.3479,                0.97822,             0.00016817,             0.00016817,             0.00016817
                     53,                0.38662,                0.30903,                0.98936,                0.97904,                0.95619,                0.98334,                0.92912,                 0.3687,                0.34974,                0.96891,             0.00016487,             0.00016487,             0.00016487
                     54,                0.38999,                0.30578,                0.99543,                0.97369,                0.94784,                 0.9774,                 0.9274,                0.37087,                0.34256,                0.97191,             0.00016157,             0.00016157,             0.00016157
                     55,                0.38468,                0.29685,                0.99335,                0.96825,                0.94636,                0.97642,                0.92134,                0.36961,                 0.3664,                0.97572,             0.00015827,             0.00015827,             0.00015827
                     56,                 0.3938,                0.30227,                 1.0005,                0.97243,                0.94935,                0.97642,                0.92202,                0.37975,                0.34707,                0.98134,             0.00015498,             0.00015498,             0.00015498
                     57,                0.38443,                0.29197,                 0.9876,                0.97625,                0.94876,                0.97943,                0.92727,                0.36606,                0.36052,                 0.9652,             0.00015168,             0.00015168,             0.00015168
                     58,                 0.3814,                0.29668,                0.99131,                0.96927,                0.94097,                0.97125,                0.92053,                0.37779,                0.36173,                0.98276,             0.00014838,             0.00014838,             0.00014838
                     59,                0.37459,                0.27847,                0.98288,                0.97294,                0.94196,                0.97528,                0.92554,                0.38033,                0.38249,                0.98847,             0.00014509,             0.00014509,             0.00014509
                     60,                  0.393,                0.31226,                 1.0069,                0.97678,                0.94109,                  0.981,                0.93098,                0.37499,                0.35488,                0.97866,             0.00014179,             0.00014179,             0.00014179
                     61,                0.38844,                0.31645,                0.99398,                0.97207,                0.94242,                0.97549,                0.91632,                 0.3834,                0.34499,                0.98551,             0.00013849,             0.00013849,             0.00013849
                     62,                0.37311,                0.28361,                0.98433,                0.97572,                0.94395,                0.97789,                0.91789,                0.37871,                0.34908,                0.98208,              0.0001352,              0.0001352,              0.0001352
                     63,                0.38089,                0.28944,                0.99634,                0.97257,                0.94197,                0.97876,                0.92795,                0.37099,                0.35215,                0.97703,              0.0001319,              0.0001319,              0.0001319
                     64,                0.37281,                0.27761,                0.98947,                0.96449,                0.93938,                0.98161,                0.93301,                0.37081,                0.35527,                0.97574,              0.0001286,              0.0001286,              0.0001286
                     65,                0.37049,                0.27676,                0.98186,                 0.9657,                0.94987,                0.97242,                0.91984,                0.37307,                0.35768,                0.97585,             0.00012531,             0.00012531,             0.00012531
                     66,                0.37641,                0.29481,                0.98653,                0.97192,                 0.9456,                0.97457,                0.92982,                0.36027,                 0.3507,                0.96602,             0.00012201,             0.00012201,             0.00012201
                     67,                0.36464,                0.26776,                0.98087,                0.95869,                0.94833,                 0.9747,                0.92797,                0.37327,                0.34138,                0.97054,             0.00011871,             0.00011871,             0.00011871
